# {"t_start": 1562175104.1711621, "env_id": "Catcher-v0"} 
r,l,t
-3.0,132,7.939368
-6.0,42,9.731441
-6.0,46,11.693713
-5.0,77,14.860192
-6.0,46,16.757602
-6.0,35,18.231707
-4.0,96,22.127132
-2.0,184,29.60987
-5.0,77,32.773123
-6.0,41,34.470473
-6.0,33,35.844691
-5.0,61,38.349624
-2.0,181,46.052982
-6.0,33,47.468668
0.0,244,57.418044
-5.0,77,60.628136
12.0,618,86.99595
-6.0,35,88.716522
-6.0,41,90.601362
-5.0,66,93.346761
27.0,1099,141.382503
3.0,322,155.095859
-5.0,69,157.836195
78.0,2490,256.500962
-2.0,179,263.34885
0.0,227,272.567187
7.0,458,290.681558
6.0,420,307.148912
116.0,3281,437.502922
7.0,445,455.012495
47.0,1667,523.466496
120.0,3317,658.485707
-5.0,78,661.650484
121.0,3382,801.889726
1.0,260,812.016462
74.0,2349,908.227072
120.0,3383,1043.867613
85.0,2567,1146.110053
138.0,3718,1295.116577
141.0,3743,1444.190994
168.0,4238,1612.445882
81.0,2573,1715.316869
2.0,301,1727.239671
