# {"t_start": 1561908906.9656117, "env_id": "Catcher-v0"} 
r,l,t
-5.0,68,5.447441
-4.0,102,9.389662
-5.0,65,11.86975
-6.0,41,13.447637
-6.0,42,15.055297
-4.0,105,19.00105
5.0,403,34.217211
-5.0,77,37.109249
-4.0,109,41.228601
6.0,440,57.735681
1.0,287,68.595484
2.0,301,80.0391
-6.0,44,81.70718
-4.0,114,86.032709
16.0,721,120.467118
-4.0,104,125.121854
-1.0,211,133.827384
58.0,1789,205.322725
96.0,2355,353.561139
71.0,1976,484.590626
30.0,1123,558.456596
42.0,1395,652.03819
79.0,2143,796.285929
