# {"t_start": 1562174262.6718524, "env_id": "Catcher-v0"} 
r,l,t
-5.0,73,2.815808
-6.0,39,3.124446
-5.0,68,3.652921
-5.0,69,4.216135
-6.0,42,4.551852
-3.0,129,5.592279
-6.0,33,5.837061
-3.0,149,7.013319
-6.0,37,7.283082
-2.0,164,8.485937
7.0,453,11.802613
-5.0,71,12.300274
-6.0,44,12.629587
4.0,365,15.247324
-3.0,135,16.20275
-5.0,76,16.755411
-6.0,41,17.058659
-2.0,160,18.234897
11.0,621,22.616329
5.0,412,25.518074
-1.0,194,26.894165
0.0,237,28.547456
12.0,642,32.864796
-6.0,42,33.152622
34.0,1300,41.88148
7.0,489,45.139406
6.0,423,47.988029
34.0,1306,56.750555
97.0,2885,76.086769
-4.0,107,76.841431
49.0,1704,88.217253
62.0,2056,102.002993
31.0,1186,109.908963
-2.0,172,111.094123
35.0,1362,120.204382
95.0,2845,139.169683
52.0,1759,150.900502
37.0,1418,160.44322
111.0,3145,181.444294
95.0,2808,200.329274
66.0,2167,214.833457
31.0,1243,223.102953
30.0,1219,231.282162
164.0,4132,258.888625
69.0,2256,273.978225
47.0,1718,285.48724
