# {"t_start": 1562174264.7535412, "env_id": "citycopter-v0"} 
r,l,t
-5.0,6,2.755617
-5.0,6,3.03453
-5.0,7,3.401082
-5.0,6,3.68346
-5.0,5,3.940762
-5.0,5,4.21754
-5.0,6,4.542273
-5.0,11,5.106513
-5.0,9,5.484391
-4.0,13,6.078013
-5.0,11,6.643696
-5.0,11,7.13749
-3.0,19,7.794732
-5.0,7,8.105483
-5.0,6,8.424425
-5.0,11,8.865888
-2.0,33,10.178332
-5.0,4,10.350563
-5.0,4,10.532948
-5.0,4,10.697144
-5.0,10,11.131226
-4.0,16,11.755998
-4.0,17,12.462272
-4.0,17,13.189091
-3.0,26,14.206776
-5.0,7,14.454979
2.0,55,16.410516
-4.0,16,16.997445
-5.0,9,17.284135
-3.0,26,18.117897
-4.0,17,18.734075
-3.0,25,19.573457
-1.0,36,20.709379
-4.0,16,21.258968
-5.0,10,21.513539
-2.0,27,22.427277
-4.0,13,22.877759
-2.0,31,23.997503
-4.0,17,24.612034
-3.0,26,25.442326
-2.0,32,26.533588
0.0,47,27.965694
-3.0,22,28.604473
-2.0,33,29.569888
-3.0,23,30.33919
-3.0,25,31.159079
0.0,46,32.682301
-2.0,28,33.512329
-2.0,28,34.309203
-3.0,23,34.918823
11.0,116,38.270535
5.0,77,40.558567
0.0,45,41.797232
-1.0,40,42.865988
-1.0,36,43.862357
3.0,63,45.617806
0.0,46,46.877647
-2.0,31,47.690705
-4.0,16,48.110414
-3.0,23,48.743668
6.0,85,50.721805
7.0,90,53.068681
8.0,98,55.732328
8.0,101,58.190813
8.0,98,60.630557
-3.0,23,61.297412
-4.0,16,61.678031
0.0,45,62.775117
10.0,108,65.719928
0.0,46,66.900625
0.0,46,68.007985
2.0,55,69.392646
16.0,148,73.058325
7.0,92,75.301388
0.0,43,76.330937
51.0,360,85.178613
16.0,147,88.895675
10.0,106,92.153072
0.0,46,93.775214
14.0,132,97.939754
43.0,307,107.495815
80.0,550,122.781775
32.0,256,129.51468
113.0,752,147.628836
2.0,54,148.834582
33.0,253,154.881287
33.0,253,160.797259
93.0,619,175.217278
2.0,50,176.451897
124.0,817,195.847233
397.0,2509,254.375317
123.0,817,274.474253
80.0,553,288.262384
150.0,982,311.972407
624.0,3921,407.383282
534.0,3362,489.038678
625.0,3929,586.115705
262.0,1679,626.933022
172.0,1114,654.597116
398.0,2522,716.952209
247.0,1583,756.242452
610.0,3825,850.326719
442.0,2793,919.517211
233.0,1482,956.296995
197.0,1274,987.908461
